Date,Variação Total (R$),Variação Percentual,Nome
2022-04-20,62.07999389648438,0.3227953093619196,PETR4
2022-04-22,52.15999572753907,0.27121462004752006,PETR4
2022-04-25,48.56000488281251,0.2524958656552232,PETR4
2022-04-26,48.15999572753907,0.25041595116232873,PETR4
2022-04-27,48.15999572753907,0.25041595116232873,PETR4
2022-04-28,49.760001831054694,0.25873545045265556,PETR4
2022-04-29,49.92000549316407,0.25956741624981317,PETR4
2022-05-02,47.51999633789063,0.24708816731432326,PETR4
2022-05-03,49.68000000000001,0.25831946755407653,PETR4
2022-05-04,64.23999755859376,0.3340266096016731,PETR4
2022-05-05,63.75998657226563,0.3315307122101998,PETR4
2022-05-06,72.16001098632813,0.3752080438141021,PETR4
2022-05-09,64.95999877929688,0.3377703763482576,PETR4
2022-05-10,67.19998901367188,0.34941758014596447,PETR4
2022-05-11,76.23999755859376,0.39642261625724706,PETR4
2022-05-12,78.3200146484375,0.40723801293904693,PETR4
2022-05-13,81.84000366210938,0.425540784432765,PETR4
2022-05-16,84.5600048828125,0.43968388562194516,PETR4
2022-05-17,80.95999877929688,0.4209650518890229,PETR4
2022-05-18,76.47998779296876,0.3976704856123583,PETR4
2022-05-19,81.0399853515625,0.4213809554469765,PETR4
2022-05-20,86.3200146484375,0.4488353507094296,PETR4
2022-05-23,97.28000610351563,0.5058236590241039,PETR4
2022-05-24,60.48000305175782,0.3144758894122184,PETR4
2022-05-25,64.07999389648438,0.33319464380451524,PETR4
2022-05-26,64.72000854492188,0.33652250699314634,PETR4
2022-05-27,52.48000305175782,0.2728785516418355,PETR4
2022-05-30,47.59999816894532,0.24750415021290206,PETR4
2022-05-31,48.15999572753907,0.25041595116232873,PETR4
2022-06-01,47.84000366210938,0.2487520989086387,PETR4
2022-06-02,45.760001831054694,0.237936781567464,PETR4
2022-06-03,49.92000549316407,0.25956741624981317,PETR4
2022-06-06,50.07999389648438,0.2603993027063456,PETR4
2022-06-07,52.95999877929688,0.27537436969268336,PETR4
2022-06-08,51.760001831054694,0.2691347848952512,PETR4
2022-06-09,48.23999755859376,0.25083193406090754,PETR4
2022-06-10,44.879996948242194,0.2333610490237219,PETR4
2022-06-13,41.84000366210938,0.2175540955808517,PETR4
2022-06-14,44.48000305175782,0.23128121387145284,PETR4
2022-06-15,40.319999389648444,0.2096505791891039,PETR4
2022-06-17,26.15999572753907,0.13602327229377642,PETR4
2022-06-20,28.640006713867194,0.14891850412784513,PETR4
2022-06-21,24.239997558593757,0.12603992074975956,PETR4
2022-06-22,23.59999816894532,0.12271213690175387,PETR4
2022-06-23,19.59999816894532,0.10191346801656254,PETR4
2022-06-24,18.000007324218757,0.09359404806686134,PETR4
2022-06-27,31.519996337890632,0.16389349177355772,PETR4
2022-06-28,34.319999389648444,0.1784525758613167,PETR4
2022-06-29,32.319999389648444,0.16805324141872102,PETR4
2022-06-30,31.120002441406257,0.16181365662128888,PETR4
2022-07-01,35.92000549316407,0.1867720751516435,PETR4
2022-07-04,40.79999511718751,0.21214639723995177,PETR4
2022-07-05,31.92000549316407,0.16597340626645218,PETR4
2022-07-06,29.04000061035157,0.1509983392801142,PETR4
2022-07-07,35.51999633789063,0.18469216065874905,PETR4
2022-07-08,38.07999389648438,0.1980032960507716,PETR4
